model,H,condition,story,lag1_cosine_median,lag1_featurewise_corr_mean
pythia,8,normal,singlewomanseekingmanwich,0.8602468771793407,0.25772974568718127
pythia,8,normal,sloth,0.8736829653844871,0.32310627242302165
pythia,8,normal,souls,0.8718485661571826,0.30668114798000035
pythia,8,normal,stagefright,0.8874602837178334,0.29205746889236756
pythia,8,normal,stumblinginthedark,0.8792499498378437,0.327906253588758
pythia,8,normal,superheroesjustforeachother,0.8555016047978748,0.24483852682801585
pythia,8,normal,sweetaspie,0.8440148245809859,0.3091838394515091
pythia,8,normal,swimmingwithastronauts,0.8803705931111138,0.3031963856807981
pythia,8,normal,thatthingonmyarm,0.8663499180613298,0.3448445104167103
pythia,8,normal,theadvancedbeginner,0.8644170814691594,0.289129619353941
pythia,8,normal,theclosetthatateeverything,0.8835012550786695,0.27386707935654153
pythia,8,normal,thecurse,0.8603048550207206,0.29496843263105327
pythia,8,normal,thefreedomridersandme,0.8673027757167907,0.3390998368675371
pythia,8,normal,theinterview,0.8633950151055388,0.305598254479839
pythia,8,normal,thepostmanalwayscalls,0.8642980113204508,0.30813774634249413
pythia,8,normal,theshower,0.8529879530335085,0.3077926463892073
pythia,8,normal,thetiniestbouquet,0.8604375483910711,0.2790601894948465
pythia,8,normal,thetriangleshirtwaistconnection,0.8865796564669364,0.3042322083732834
pythia,8,normal,threemonths,0.8758891919098952,0.28746499737453807
pythia,8,normal,thumbsup,0.8900221585301856,0.31083609302604237
pythia,8,normal,tildeath,0.8920600913762133,0.2789973734755582
pythia,8,normal,treasureisland,0.8587215752623103,0.30026873978647955
pythia,8,normal,undertheinfluence,0.864815300259338,0.29000177930213655
pythia,8,normal,vixenandtheussr,0.871216098315821,0.29975848017204193
pythia,8,normal,waitingtogo,0.8585668627071776,0.28132923216751865
pythia,8,normal,whenmothersbullyback,0.8691776084587768,0.2759387131271646
pythia,8,normal,wildwomenanddancingqueens,0.8777190666221363,0.3032022075015732
pythia,8,ctx1,adollshouse,0.9193715588093004,0.2326902995897706
pythia,8,ctx1,adventuresinsayingyes,0.9173111395725368,0.21279546930863305
pythia,8,ctx1,afatherscover,0.8912014633608468,0.21253135412322932
pythia,8,ctx1,againstthewind,0.9040500133712388,0.245257550450638
pythia,8,ctx1,alternateithicatom,0.9198119889100247,0.22702189313138998
pythia,8,ctx1,avatar,0.9047710737413112,0.278908181731608
pythia,8,ctx1,backsideofthestorm,0.9170158522572667,0.2081216846552243
pythia,8,ctx1,becomingindian,0.9255963856605007,0.19539152210198651
pythia,8,ctx1,beneaththemushroomcloud,0.9160433123701968,0.23623481538639182
pythia,8,ctx1,birthofanation,0.9214490816934326,0.22665730040355037
pythia,8,ctx1,bluehope,0.9072275544329762,0.2657067046207047
pythia,8,ctx1,breakingupintheageofgoogle,0.9240760987635598,0.2333669353055686
pythia,8,ctx1,buck,0.9106877597126747,0.22901217897766624
pythia,8,ctx1,catfishingstrangerstofindmyself,0.8987879440462024,0.18713977054862038
pythia,8,ctx1,cautioneating,0.9104323152598414,0.2646367971370914
pythia,8,ctx1,christmas1940,0.9151391620462237,0.2302381363385614
pythia,8,ctx1,cocoonoflove,0.9088940298191088,0.2683973354750881
pythia,8,ctx1,comingofageondeathrow,0.9198435193182112,0.18193499198452945
pythia,8,ctx1,exorcism,0.9232195475076176,0.26141670913786563
pythia,8,ctx1,eyespy,0.9193488647780282,0.25921323105280325
pythia,8,ctx1,firetestforlove,0.9267708451456591,0.22289811261743156
pythia,8,ctx1,food,0.9162154108004952,0.25421857232436823
pythia,8,ctx1,forgettingfear,0.9207926204401606,0.2543111179145287
pythia,8,ctx1,fromboyhoodtofatherhood,0.9355301950462845,0.22925811942479546
